City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,dudinka,69.4058,86.1778,265.19,97,100,1.79,RU,1698215465
279,byron bay,-28.65,153.6167,307.43,66,0,9.71,AU,1698215040
280,muromtsevo,56.3724,75.2418,276.96,97,100,4.64,RU,1698215609
281,shache,38.4167,77.2406,292.29,16,0,2.86,CN,1698215609
282,mwene-ditu,-7.0,23.45,297.92,74,99,0.63,CD,1698215609
283,igbeti,8.75,4.1333,297.77,82,94,2.51,NG,1698215610
284,amos,48.5669,-78.1162,281.7,99,100,1.14,CA,1698215610
285,ancud,-41.8697,-73.8203,278.52,89,2,1.69,CL,1698215610
286,tshabong,-26.05,22.45,300.15,10,0,4.05,BW,1698215610
287,ust'-ilimsk,58.0006,102.6619,271.73,70,100,4.92,RU,1698215611
288,gulu,2.7746,32.299,298.06,72,64,1.64,UG,1698215611
289,hammerfest,70.6634,23.6821,270.4,68,0,2.06,NO,1698215611
290,dengzhou,37.8086,120.7508,296.14,43,0,4.64,CN,1698215612
291,thief river falls,48.1191,-96.1812,277.11,93,100,3.09,US,1698215612
292,ilomantsi,62.6716,30.9328,266.87,85,8,1.18,FI,1698215612
293,korla,41.7597,86.1469,290.11,29,0,3.58,CN,1698215613
294,sipalay,9.75,122.5,302.31,75,100,1.41,PH,1698215613
295,livno,43.8269,17.0078,286.9,88,51,1.03,BA,1698215613
296,sur,22.5667,59.5289,305.58,39,9,1.88,OM,1698215614
297,mulayjah,27.271,48.4242,303.02,38,0,2.56,SA,1698215614
298,mariental,-24.6333,17.9667,299.43,12,0,4.23,NA,1698215614
299,nizhneangarsk,55.7833,109.55,270.93,50,93,2.24,RU,1698215615
300,nova xavantina,-14.6667,-52.35,299.94,49,100,1.28,BR,1698215615
301,port alfred,-33.5906,26.891,293.25,69,5,1.79,ZA,1698215615
302,okha,53.5739,142.9478,275.96,64,6,4.04,RU,1698215616
303,masuguru,-11.3667,38.4167,300.96,62,92,2.29,TZ,1698215616
304,katabu,-4.9333,122.5167,307.82,29,8,0.64,ID,1698215616
305,timaru,-44.4,171.25,289.3,77,100,2.24,NZ,1698215616
306,mangrol,21.1167,70.1167,305.99,37,0,0.92,IN,1698215617
307,pereira barreto,-20.6383,-51.1092,295.98,91,97,1.93,BR,1698215617
308,hirara,24.8,125.2833,301.3,69,40,7.72,JP,1698215617
309,punta arenas,-53.15,-70.9167,279.21,70,40,9.26,CL,1698215420
310,jutai,-5.1833,-68.9,297.38,88,100,0.93,BR,1698215618
311,codrington,-38.2667,141.9667,284.42,51,9,9.17,AU,1698215618
312,antsiranana,-12.2787,49.2917,303.57,54,40,3.09,MG,1698215618
313,bridgewater,44.3835,-64.5155,284.94,86,100,4.12,CA,1698215619
314,matsue,35.4722,133.0506,295.15,56,20,5.66,JP,1698215619
315,arraial do cabo,-22.9661,-42.0278,295.44,93,23,9.4,BR,1698215619
316,lerwick,60.1545,-1.1494,282.15,83,98,3.97,GB,1698215620
317,brezina,33.0989,1.2608,289.41,56,4,3.95,DZ,1698215620
318,gebeit,21.0667,36.3167,304.58,27,0,3.93,SD,1698215620
319,zheshart,62.0731,49.5733,272.32,67,11,3.67,RU,1698215620
320,sanctuary point,-35.1114,150.629,293.89,65,100,5.73,AU,1698215621
321,qamdo,31.1667,97.2333,280.21,26,20,2.22,CN,1698215621
322,zubtsov,56.1753,34.5894,271.24,71,10,2.61,RU,1698215621
323,saipan,15.1355,145.701,301.54,83,75,5.66,MP,1698215622
324,palpa,-14.5336,-75.1856,293.6,80,73,1.02,PE,1698215622
325,gadzhiyevo,69.2551,33.3362,270.72,95,97,2.28,RU,1698215623
